,title,main_body,link
10,吉林省科协关于科技企业复工复产的建议获省政府主要领导批示,3月9日，吉林省委副书记、省长景俊海对吉林省科协报送的《关于对吉林省科技企业复工复产情况调查及建议的报告》作出批示。为推动建立与疫情防控相适应的经济社会运行秩序，助力吉林省科技企业有序复工复产，吉林省科协组织邀请吉林省委决策咨询委员会专家，以网络调查方式开展科技企业复工复产情况调研，形成《关于吉林省科技企业复工复产情况调查及建议》的报告。报告分析了疫情对企业发展带来的影响，研判了企业发展态势，对有效推进科技企业化危为机、复工复产提出建议。新冠肺炎疫情发生后，吉林省科协充分发挥组织人才优势和吉林省级试点智库作用，积极站位、主动作为，形成多篇咨询建议，服务吉林省委省政府科学决策，为打赢疫情防控阻击战、稳定经济社会运行秩序作出积极贡献。,http://www.cast.org.cn/art/2020/3/10/art_80_116170.html
11,吉林省科协发挥自身优势积极助力复工复产,日前，吉林省委省政府明确要求在抓好新冠肺炎疫情防控同时，全力做好服务经济社会发展。吉林省科协迅速发出“响应令”，发挥“一体两翼”组织优势和科技工作者专业优势，积极助力复工复产，服务吉林高质量发展。协同联动，科学指导企业复工复产吉林省科协及时制定印发《关于坚持需求牵引、助力科学防疫和有序复工复产的通知》，统筹推进吉林全省科协系统助力科学防疫和有序复工复产工作。编印《吉林省复工复产企业新冠肺炎科学防控指南（科学普及版）》，从公共区域管理、监测员工健康、生产运输防控、员工个人防护以及异常情况处置等方面指导企业疫情科学防控。录制企业复工复产“防疫小讲堂”H5及音频18期，及时在《吉林科普微窗》线上平台推送，为企业复工复产提供科学指导。广泛发动吉林省科技企业利用中国科协创新资源共享平台（绿平台）寻求合作，助力企业抵御疫情影响。吉林省老科协会长、中国工程院院士李玉主持制定《食用菌企业新型冠状病毒肺炎复工指南》，指导梵天菌业、江南生物、华腾生物、裕华等企业复工复产。吉林省园艺学会组建专家服务团，帮助松原市民乐村蔬菜生产合作社落实“物联网远程控制系统”安装调试，推动企业尽快复工。吉林省心理学会、吉林省健康管理学会组建心理咨询专家团队，设立网上心理咨询专线和电话咨询热线，加强对企业员工心理疏导，消除对疫情恐慌，助力企业复工复产。线上平台，助力农业生产不误农时吉林省是农业大省，抓好疫情期间农业生产对吉林省经济社会发展意义重大。吉林省科协开展“吉林省科协大讲堂—知农云课堂”线上培训，开通专家服务热线，指导疫情期间农民科学生产；依托吉林省农业科学院推出“乡村振兴科技支撑行动”网络课堂13期，为种养大户、家庭农场、专业合作社及广大农户提供技术指导，线上观看量近10万次。吉林省特产学会组织人参病害发生规律及防治方法、非林地人参土壤改良及施肥等技术讲座，指导人参种植户科学生产。基层科协结合各自实际，以网上课堂直播、技术视频发布、网络培训教学等形式推进复工复产。蛟河市科协推出农业技术网络教学，借助官方公众号、手机微信等线上平台培训果农2000多人。永吉县科协在永吉电视台推出农业科技培训专栏，讲授农民急需农业技术知识。伊通县科协邀请中国农业大学专家团线上授课，助力农民准时投入备耕生产。,http://www.cast.org.cn/art/2020/3/10/art_80_115772.html
12,天津市领导对科协系统疫情防控工作情况作出批示,近日，天津市委市政府领导同志在市科协报送的《市科协系统疫情防控工作情况汇报》上批示，对天津市科协主动作为，在科普和科技服务、派驻干部下沉一线、强化宣传教育引导等方面实实在在地开展工作予以充分肯定，希望继续努力，共同打赢总体战和阻击战。疫情发生以来，天津市科协团结带领各级科协组织和广大科技工作者，按照“坚定信心、同舟共济、科学防治、精准施策”的总要求，发挥自身优势，勇于担当作为，在做好科协机关和直属单位自身防控，确保“零感染”的同时，积极做好加强对广大科技工作者的思想政治引领、开展全域防疫科普、选派干部下沉社区一线、服务企业复工复产、加强宣传教育和舆情管控、推动科协重点任务落实等各项工作，为全市打赢疫情防控人民战争、总体战、阻击战做出了贡献。天津市科协党组及时召开党组扩大会议进行了传达学习，按照中央和市委的部署要求，研究市科协贯彻落实的措施。会议认为，天津市科协系统要认真学习领会批示精神，团结带领各级党组织和党员干部，以加强党的全面领导为统领，以增强政治性、先进性、群众性为主线，一手抓疫情防控、一手抓科协事业发展，再接再厉，再立新功，为实现疫情防控和服务经济社会发展“双战双赢”做出更大贡献。,http://www.cast.org.cn/art/2020/3/9/art_80_115667.html
13,吉林省领导对吉林省科协新冠肺炎疫情防控工作作出批示,近期，吉林省委副书记高广滨、副省长安立佳分别在吉林省科协《关于科协系统新冠肺炎疫情防控工作阶段性情况的报告》上作出批示，充分肯定吉林省各级科协组织为全省疫情防控大局所做的工作，对进一步服务科学防疫和经济社会发展提出新的要求。新冠肺炎疫情发生以来，吉林省科协系统把疫情防控工作作为首要政治任务，充分发挥科协的组织、人才优势，动员广大科技工作者、科协干部，积极投身疫情防控人民战争，大力开展疫情防控、应急科普，服务基层、服务群众，为疫情防控做出了应有的贡献。,http://www.cast.org.cn/art/2020/3/4/art_80_115169.html
14,吉林省科技工作者聚焦疫情防控 强化科研攻关,"新冠肺炎疫情发生后，吉林省科技界紧急行动,积极投身战“疫”科研攻关，一批实用成果应用到疫情防控一线，展现出广大科技工作者主动作为、勇于担当、迎刃而上、攻坚克难的精神风貌。吉林省科协副主席、中国工程院院士、军事科学院军事医学研究院分子病毒学与免疫学实验室主任金宁一是病毒学专家。吉林省防治重大疾病科研攻关领导小组成立后，由金宁一院士担任组长，带领14位专家组成新冠肺炎疫情联防联控工作机制科研攻关专家组，开展疫情防治科研攻关。中国工程院院士、军事科学院军事医学研究院研究员夏咸柱，提出加强新型冠状病毒主动免疫与被动免疫制剂研究、中西医结合临床防治技术研究、加快诊断试剂研制、新冠病毒病原学与流行病学规律研究等方面建议，2月3日报送吉林省委省政府。东北师范大学药物基因和蛋白筛选国家工程实验室主任李玉新教授及团队从事药物基因和蛋白筛选研究工作。在疫情发生初期，研发出防病毒口罩消毒液、防病毒消毒液、防病毒消毒湿巾、防病毒车内空气消毒液等系列抗病毒消毒产品。2月初，通过快速审批生产的第一批产品投入到抗疫一线。吉林省科协常委、吉林大学第一医院院长华树成教授及团队，着眼进一步完善医院控制新冠病毒疫情控制感染措施及隔离病房区域科学划分，提出使用RT-PCR法对样本中的新型冠状病毒核酸进行检测，该研究发表在医学预印本网站medRxiv上。吉林省中西医结合学会肺康复专业委员会主任委员、长春中医药大学附属医院肺病科主任王檀教授及团队针对疫情研制“除湿防疫散”药方，2月初获得传统中药制剂备案凭证并批量生产。",http://www.cast.org.cn/art/2020/3/4/art_80_115418.html
15,江西省科协《决策咨询专报》获省领导批示,近日，江西省委常委、副省长吴晓军对江西省科协报送的《决策咨询专报》作出批示，要求相关部门阅研。新型冠状病毒肺炎疫情暴发，对江西省产业发展造成一定程度的影响。为防治疫情，促进全省产业的健康发展，江西省科协组织并资助江西省科学院科技战略研究所课题组研究疫情对服务业、制造业、生物医药等产业的影响，提出促进江西产业健康发展的对策建议，并形成《决策咨询专报》。,http://www.cast.org.cn/art/2020/3/4/art_80_114953.html
16,湖南省领导调研湖南省科协工作,2月25日，湖南省人民政府副省长陈飞到湖南省科协调研工作。省科技厅党组副书记、副厅长贺修铭一同调研。1582762296826082914.jpg陈飞一行首先来到省科技馆考察调研，听取了省科协党组书记、副主席刘小明和省科技馆负责人关于省科技馆基本情况和省科普主题公园建设前期推进情况的介绍，详细了解省科技馆的运行情况。随后到省科协机关，详细了解省科技传播信息化平台建设情况，并观看了平台建设宣传片，参观平台监控室、录播室和展示厅等，了解平台前端产品与后台操作流程等。1582762363005035054.jpg在省科协机关，陈飞主持召开了调研座谈会，刘小明作工作情况汇报。陈飞对省科协近年来的工作，特别是科普工作和新冠肺炎疫情防控所做的工作表示肯定，同时也对新时代科协工作提出了明确要求：一要切实加强党对科协工作的全面领导，把党的建设和科协工作更紧密地结合起来。在科协工作中，要始终坚持贯彻党的路线、方针、政策，引领科技工作者坚持正确的政治方向，引导公众崇尚科学、崇尚创造、崇尚真理，不断提升公民科学素质，助力建设创新型省份和社会主义现代化强国。二是科普工作要在传播常识、传播知识、传播技术上做出湖南特色。科普的内容上要努力做到大道至简，着力在传播通俗易懂、接地气的科普知识上下功夫，让公众更好地消化吸收和自觉运用。三要进一步做好科协深化改革工作。要深刻理解深化群团改革的重大意义，进一步思考理解为什么改、改什么、怎么改等问题，抓好全省科协系统深化改革各项任务落地落细落实，推动湖南省科协事业改革创新发展。2月26日，湖南省科协召开党组（扩大）会议，研究落实陈飞在省科协考察调研讲话精神的具体措施。,http://www.cast.org.cn/art/2020/3/3/art_80_114785.html
17,宁夏回族自治区领导调研科协工作,2月28日，宁夏回族自治区副主席吴秀章到自治区科协调研，查看疫情防控工作开展情况，听取科协工作汇报，并对科协做好当前疫情防控工作和2020年工作提出指导性意见。c4_meitu_1.jpg吴秀章实地查看了自治区科协开展消毒、测温、宣传以及个人防护等情况，并听取了自治区科协党组书记、主席陈红缨就科协系统在疫情防控中强化组织领导、启动应急科普、发挥“三长”作用、组织学会积极参与、严格自身防控管理等工作的汇报，以及科协2020年工作要点和全民科学素质纲要实施工作思路。吴秀章充分肯定全区科协系统开展的疫情防控工作，他表示，科协在新冠疫情防控工作中团结带领广大科技工作者，主动作为，发挥优势，应急科普有声有色，“三长”作用发挥到位，学会组织各显其能，为全区疫情防控工作做出了积极贡献。吴秀章指出，2020年是“十三五”全民科学素质纲要实施的总结之年，全区科协系统要聚焦保持和增强科协组织政治性、先进性、群众性，积极履行“四服务”职责，团结引领广大科技工作者，担当新使命，展现新作为，为全区经济社会发展作出新的贡献。自治区科协副主席陈国顺、张晓玲及机关各部室主要负责人参加调研座谈会。,http://www.cast.org.cn/art/2020/3/2/art_80_114704.html
18,辽宁省科协：为抗疫复工提供科技支撑,新冠肺炎疫情发生以来，辽宁省科协充分发挥群团组织人才优势，积极开展应急科普、助力复工复产、组织建言献策、宣传典型人物等，全力为抗疫复工提供科技支撑。发挥科协系统作用，抓好组织动员省科协先后3次召开党组扩大会议，成立疫情防控领导小组，制定疫情防控工作方案，印发应急科普工作、疫情防控工作、征集科技工作者建议、助力企业复工复产工作、做好典型宣传工作等5个文件，动员全省科协系统、学会系统和企业、高校、科研院所科协及广大科技工作者认真履行服务职责，发挥专业优势，加强系统联动，确保各项工作措施落实到位。全省科协系统积极行动，纷纷结合自身实际投入抗疫复工当中。积极开展应急科普，稳定公众情绪组织全省科协系统和广大科技工作者围绕疫情防控、心理卫生、营养健康、饮食安全、畜禽管理等方面进行科普宣传和技术指导。全省2000余个“科普e站”发布图文视频5.9万余篇次，全省2.1万余名科普员推送科普知识14.5万余篇次，各地微信平台转载权威信息2700余条，报纸专栏刊发科普文章383篇，电视专栏播放科普知识114期，发送科普宣传单17.2万余份，张贴科普挂图1.1万余份。组织近百名相关学科专家通过V课堂工作群开展应急科普讲座，招募100余名心理志愿者开通10条热线服务电话。,http://www.cast.org.cn/art/2020/2/28/art_80_114492.html
19,科协人战“疫”时刻，科技工作者锁定目标：疫情防控、社会发展双胜利,“鉏麦家家趁晚晴，筑陂处处待春耕。”安徽省黄山区谭家桥，在陡峭的高山茶园里，东黄山村茶叶生产大户江文宇正在翻耕除草，口罩、手套一应俱全，手中轰鸣的机器上下翻飞，身旁的亲戚也在帮着打下手。当前，新冠肺炎疫情防控已到最吃劲的关键阶段，农业生产也到了春管春种的重要时期。为积极开展春耕生产，在安徽省省、市、县三级科协组织的倡议下，谭家桥镇科协农技人员全部上阵，戴着口罩深入各村组织指导农民劳作。2月23日，习近平总书记出席统筹推进新冠肺炎疫情防控和经济社会发展工作部署会议时强调，当前疫情形势依然严峻复杂，防控正处在最吃劲的关键阶段；要变压力为动力、善于化危为机，有序恢复生产生活秩序，把我国发展的巨大潜力和强大动能充分释放出来，努力实现今年经济社会发展目标任务。2月26日，习近平总书记听取中央应对新型冠状病毒感染肺炎疫情工作领导小组汇报时再次强调，加强疫情防控这根弦不能松，经济社会发展各项工作要抓紧。为夺取疫情防控和实现经济社会发展目标的双胜利，2月23日晚，中国科协再次向广大科技工作者发出倡议：斩断疫情，科技铸剑；振兴经济，科技当先。中国科协的倡议书发出后，各全国学会、省级科协的网站、移动端纷纷转发响应。多措并举，助力农民防疫、春耕两不误疫情突至，“南菜园”海南陷入滞销困境，八百里秦川腹地，同样面临蔬果压仓……这不仅关乎农民的“钱袋子”，也影响着全国各地群众的“菜篮子”。一场“保卫战”迫在眉睫。,http://www.cast.org.cn/art/2020/2/28/art_80_114258.html
